Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
430720 - Erval Grande;102,04%;112,24%;100,00%;106,12%;118,37%;97,96%;112,24%;81,63%;114,29%;116,33%;112,24%;102,04%;112,24%;112,24%;91,84%;102,04%;116,33%;97,96%;100,00%
430755 - Estação;92,00%;96,00%;90,00%;90,00%;88,00%;100,00%;92,00%;68,00%;88,00%;110,00%;96,00%;98,00%;108,00%;94,00%;98,00%;96,00%;112,00%;94,00%;94,00%
430805 - Faxinalzinho;96,30%;74,07%;77,78%;59,26%;40,74%;74,07%;74,07%;96,30%;81,48%;66,67%;74,07%;85,19%;70,37%;74,07%;70,37%;81,48%;77,78%;70,37%;70,37%
430825 - Floriano Peixoto;66,67%;111,11%;88,89%;77,78%;133,33%;100,00%;111,11%;77,78%;122,22%;144,44%;111,11%;88,89%;144,44%;122,22%;77,78%;111,11%;155,56%;88,89%;100,00%
430870 - Gaurama;100,00%;86,96%;91,30%;119,57%;84,78%;91,30%;86,96%;102,17%;97,83%;89,13%;86,96%;100,00%;91,30%;82,61%;80,43%;102,17%;86,96%;91,30%;91,30%
430890 - Getúlio Vargas;91,79%;94,03%;85,82%;80,60%;65,67%;87,31%;92,54%;39,55%;93,28%;114,93%;94,03%;91,79%;109,70%;93,28%;73,13%;85,07%;100,75%;84,33%;84,33%
431046 - Ipiranga do Sul;41,67%;108,33%;83,33%;50,00%;116,67%;100,00%;108,33%;41,67%;116,67%;83,33%;108,33%;91,67%;91,67%;108,33%;100,00%;100,00%;100,00%;108,33%;116,67%
431070 - Itatiba do Sul;105,26%;84,21%;89,47%;131,58%;68,42%;94,74%;84,21%;110,53%;94,74%;94,74%;84,21%;94,74%;94,74%;84,21%;78,95%;94,74%;100,00%;100,00%;100,00%
431090 - Jacutinga;100,00%;95,45%;127,27%;100,00%;90,91%;136,36%;95,45%;118,18%;90,91%;140,91%;95,45%;104,55%;136,36%;95,45%;127,27%;100,00%;118,18%;136,36%;136,36%
431190 - Marcelino Ramos;92,11%;76,32%;84,21%;73,68%;47,37%;102,63%;76,32%;89,47%;76,32%;89,47%;76,32%;73,68%;89,47%;78,95%;92,11%;73,68%;89,47%;78,95%;81,58%
431200 - Mariano Moro;83,33%;108,33%;125,00%;175,00%;108,33%;108,33%;108,33%;91,67%;75,00%;125,00%;108,33%;75,00%;125,00%;108,33%;116,67%;75,00%;116,67%;116,67%;125,00%
431270 - Nonoai;98,74%;67,92%;83,65%;83,65%;59,12%;81,13%;68,55%;103,77%;72,33%;84,28%;67,92%;79,87%;84,91%;67,30%;76,10%;75,47%;88,68%;76,10%;76,73%
431413 - Paulo Bento;94,12%;94,12%;64,71%;164,71%;70,59%;64,71%;94,12%;88,24%;94,12%;76,47%;94,12%;105,88%;70,59%;88,24%;64,71%;105,88%;76,47%;52,94%;52,94%
431478 - Ponte Preta;122,22%;155,56%;122,22%;133,33%;133,33%;144,44%;155,56%;122,22%;122,22%;188,89%;155,56%;100,00%;177,78%;155,56%;144,44%;100,00%;200,00%;155,56%;155,56%
431531 - Quatro Irmãos;100,00%;170,00%;110,00%;110,00%;140,00%;120,00%;170,00%;100,00%;170,00%;140,00%;170,00%;130,00%;140,00%;160,00%;80,00%;140,00%;140,00%;120,00%;130,00%
431555 - Rio dos Índios;104,76%;76,19%;66,67%;133,33%;66,67%;100,00%;76,19%;47,62%;80,95%;95,24%;76,19%;76,19%;90,48%;76,19%;80,95%;71,43%;90,48%;95,24%;100,00%
431970 - São Valentim;88,46%;88,46%;92,31%;111,54%;88,46%;100,00%;88,46%;100,00%;92,31%;100,00%;88,46%;84,62%;103,85%;92,31%;88,46%;84,62%;111,54%;92,31%;88,46%
432060 - Severiano de Almeida;96,00%;108,00%;112,00%;104,00%;112,00%;116,00%;108,00%;108,00%;80,00%;104,00%;108,00%;88,00%;104,00%;100,00%;76,00%;88,00%;104,00%;104,00%;100,00%
432163 - Três Arroios;104,76%;85,71%;66,67%;100,00%;66,67%;71,43%;80,95%;100,00%;95,24%;71,43%;85,71%;100,00%;61,90%;85,71%;66,67%;90,48%;61,90%;71,43%;71,43%
432290 - Viadutos;108,00%;152,00%;104,00%;92,00%;132,00%;104,00%;148,00%;112,00%;140,00%;136,00%;152,00%;140,00%;140,00%;152,00%;76,00%;136,00%;148,00%;108,00%;108,00%
Totais;96,99%;90,96%;77,54%;87,39%;71,45%;88,36%;87,88%;91,32%;92,94%;92,47%;90,96%;94,45%;95,01%;90,56%;77,02%;93,01%;98,63%;85,04%;87,73%
430047 - Almirante Tamandaré do Sul;105,00%;90,00%;70,00%;90,00%;70,00%;85,00%;95,00%;105,00%;110,00%;85,00%;90,00%;95,00%;100,00%;90,00%;75,00%;115,00%;80,00%;60,00%;75,00%
430355 - Camargo;105,26%;147,37%;105,26%;78,95%;152,63%;152,63%;147,37%;121,05%;142,11%;168,42%;147,37%;142,11%;157,89%;142,11%;126,32%;121,05%;163,16%;157,89%;163,16%
430470 - Carazinho;99,83%;85,84%;75,82%;86,36%;67,36%;80,83%;84,11%;95,34%;89,98%;88,77%;85,84%;93,26%;88,08%;87,05%;72,37%;92,40%;91,02%;77,89%;79,45%
430490 - Casca;91,86%;93,02%;76,74%;74,42%;82,56%;101,16%;93,02%;45,35%;87,21%;89,53%;93,02%;93,02%;90,70%;94,19%;83,72%;94,19%;89,53%;94,19%;94,19%
430550 - Ciríaco;108,33%;129,17%;145,83%;112,50%;120,83%;141,67%;125,00%;79,17%;125,00%;145,83%;129,17%;137,50%;158,33%;129,17%;133,33%;137,50%;162,50%;137,50%;145,83%
430585 - Coqueiros do Sul;94,74%;110,53%;105,26%;68,42%;73,68%;105,26%;110,53%;89,47%;121,05%;105,26%;110,53%;115,79%;110,53%;100,00%;100,00%;126,32%;115,79%;110,53%;110,53%
430597 - Coxilha;94,29%;94,29%;80,00%;65,71%;88,57%;94,29%;88,57%;100,00%;102,86%;120,00%;94,29%;100,00%;122,86%;94,29%;88,57%;94,29%;122,86%;82,86%;85,71%
430630 - David Canabarro;23,08%;96,15%;53,85%;103,85%;80,77%;61,54%;96,15%;61,54%;107,69%;76,92%;96,15%;103,85%;76,92%;84,62%;57,69%;123,08%;88,46%;73,08%;84,62%
430705 - Ernestina;107,69%;115,38%;92,31%;80,77%;88,46%;107,69%;115,38%;115,38%;92,31%;100,00%;115,38%;96,15%;107,69%;107,69%;84,62%;96,15%;115,38%;84,62%;100,00%
430885 - Gentil;122,22%;155,56%;188,89%;200,00%;222,22%;211,11%;155,56%;88,89%;188,89%;222,22%;155,56%;166,67%;233,33%;166,67%;188,89%;166,67%;244,44%;166,67%;166,67%
431127 - Lagoa dos Três Cantos;111,11%;133,33%;155,56%;155,56%;111,11%;166,67%;133,33%;33,33%;133,33%;77,78%;133,33%;155,56%;100,00%;144,44%;155,56%;155,56%;122,22%;133,33%;133,33%
431180 - Marau;93,63%;90,55%;87,47%;91,21%;74,73%;103,96%;88,13%;87,47%;93,41%;71,43%;90,55%;94,07%;98,68%;92,97%;91,87%;92,53%;101,54%;102,86%;104,18%
431213 - Mato Castelhano;96,00%;124,00%;76,00%;56,00%;88,00%;104,00%;120,00%;120,00%;132,00%;116,00%;124,00%;132,00%;96,00%;120,00%;68,00%;140,00%;100,00%;96,00%;92,00%
431235 - Montauri;104,55%;36,36%;40,91%;95,45%;36,36%;63,64%;36,36%;100,00%;68,18%;45,45%;36,36%;81,82%;36,36%;36,36%;59,09%;81,82%;45,45%;54,55%;54,55%
431262 - Muliterno;85,00%;130,00%;70,00%;65,00%;105,00%;90,00%;130,00%;90,00%;115,00%;125,00%;130,00%;105,00%;100,00%;130,00%;55,00%;120,00%;130,00%;110,00%;110,00%
431265 - Não-Me-Toque;92,95%;86,54%;78,21%;101,28%;70,51%;80,77%;85,90%;92,31%;96,79%;98,72%;86,54%;93,59%;96,79%;85,26%;74,36%;89,74%;98,08%;91,03%;94,23%
431267 - Nicolau Vergueiro;80,00%;113,33%;80,00%;80,00%;106,67%;106,67%;113,33%;80,00%;100,00%;133,33%;113,33%;73,33%;133,33%;106,67%;86,67%;73,33%;140,00%;106,67%;113,33%
431275 - Nova Alvorada;117,24%;106,90%;103,45%;127,59%;103,45%;110,34%;106,90%;110,34%;103,45%;96,55%;106,90%;120,69%;100,00%;106,90%;100,00%;120,69%;103,45%;106,90%;106,90%
431410 - Passo Fundo;98,08%;88,41%;71,90%;84,05%;64,54%;83,11%;84,29%;92,45%;89,63%;93,06%;88,46%;91,98%;91,84%;87,15%;70,59%;89,35%;95,97%;79,08%;81,71%
431477 - Pontão;76,47%;111,76%;117,65%;67,65%;85,29%;105,88%;108,82%;97,06%;114,71%;114,71%;111,76%;117,65%;126,47%;123,53%;100,00%;97,06%;120,59%;67,65%;111,76%
431755 - Santo Antônio do Palma;114,29%;85,71%;42,86%;100,00%;76,19%;57,14%;85,71%;100,00%;90,48%;80,95%;85,71%;104,76%;80,95%;85,71%;42,86%;104,76%;80,95%;61,90%;61,90%
431775 - Santo Antônio do Planalto;87,50%;100,00%;93,75%;75,00%;25,00%;81,25%;100,00%;62,50%;118,75%;68,75%;100,00%;87,50%;87,50%;100,00%;87,50%;118,75%;87,50%;56,25%;56,25%
431805 - São Domingos do Sul;95,00%;75,00%;50,00%;160,00%;65,00%;55,00%;75,00%;100,00%;80,00%;70,00%;75,00%;80,00%;75,00%;70,00%;50,00%;85,00%;75,00%;50,00%;55,00%
432040 - Serafina Corrêa;95,98%;106,90%;86,21%;89,08%;104,60%;94,83%;103,45%;91,38%;104,02%;106,90%;106,90%;103,45%;105,75%;106,90%;88,51%;105,17%;106,90%;95,98%;94,83%
432050 - Sertão;96,43%;69,64%;85,71%;78,57%;75,00%;92,86%;64,29%;91,07%;75,00%;94,64%;69,64%;67,86%;94,64%;69,64%;91,07%;67,86%;96,43%;87,50%;92,86%
432255 - Vanini;93,75%;106,25%;81,25%;162,50%;68,75%;93,75%;106,25%;93,75%;68,75%;75,00%;106,25%;75,00%;87,50%;106,25%;68,75%;81,25%;87,50%;81,25%;87,50%
432320 - Victor Graeff;78,95%;115,79%;100,00%;110,53%;68,42%;105,26%;110,53%;57,89%;126,32%;84,21%;110,53%;115,79%;94,74%;110,53%;100,00%;126,32%;121,05%;100,00%;100,00%
432340 - Vila Maria;110,34%;124,14%;137,93%;134,48%;131,03%;165,52%;117,24%;89,66%;113,79%;172,41%;124,14%;103,45%;179,31%;124,14%;162,07%;100,00%;196,55%;172,41%;179,31%
Totais;96,68%;98,09%;85,55%;91,86%;81,31%;98,01%;97,51%;79,40%;98,34%;99,42%;98,01%;100,25%;100,25%;95,93%;83,80%;97,76%;105,15%;95,10%;96,51%
430005 - Água Santa;105,71%;80,00%;68,57%;85,71%;62,86%;85,71%;80,00%;100,00%;71,43%;111,43%;80,00%;82,86%;111,43%;80,00%;88,57%;71,43%;105,71%;82,86%;94,29%
430066 - André da Rocha;108,33%;75,00%;66,67%;75,00%;50,00%;66,67%;75,00%;91,67%;100,00%;83,33%;75,00%;91,67%;75,00%;75,00%;66,67%;91,67%;83,33%;66,67%;66,67%
430180 - Barracão;100,00%;100,00%;75,61%;117,07%;95,12%;97,56%;100,00%;70,73%;102,44%;109,76%;100,00%;100,00%;114,63%;102,44%;73,17%;95,12%;117,07%;90,24%;95,12%
430320 - Cacique Doble;112,20%;107,32%;78,05%;121,95%;75,61%;80,49%;107,32%;95,12%;112,20%;65,85%;107,32%;114,63%;63,41%;109,76%;75,61%;126,83%;85,37%;63,41%;65,85%
430462 - Capão Bonito do Sul;85,71%;121,43%;164,29%;107,14%;114,29%;150,00%;135,71%;107,14%;107,14%;135,71%;121,43%;121,43%;128,57%;135,71%;121,43%;114,29%;157,14%;150,00%;157,14%
430495 - Caseiros;92,31%;123,08%;123,08%;111,54%;96,15%;130,77%;123,08%;103,85%;119,23%;142,31%;123,08%;111,54%;150,00%;123,08%;103,85%;111,54%;157,69%;130,77%;134,62%
430980 - Ibiaçá;110,00%;130,00%;110,00%;116,67%;106,67%;133,33%;130,00%;113,33%;113,33%;116,67%;130,00%;126,67%;106,67%;130,00%;116,67%;120,00%;120,00%;130,00%;126,67%
430990 - Ibiraiaras;98,25%;107,02%;105,26%;78,95%;107,02%;108,77%;107,02%;87,72%;103,51%;121,05%;107,02%;105,26%;126,32%;107,02%;85,96%;98,25%;129,82%;107,02%;112,28%
431130 - Lagoa Vermelha;95,02%;106,64%;106,64%;100,41%;93,78%;110,37%;104,56%;88,80%;100,41%;109,96%;106,22%;100,41%;113,69%;104,56%;100,83%;97,51%;114,94%;110,79%;109,96%
431170 - Machadinho;90,57%;96,23%;71,70%;92,45%;90,57%;75,47%;96,23%;13,21%;100,00%;86,79%;96,23%;109,43%;83,02%;96,23%;64,15%;107,55%;88,68%;77,36%;79,25%
431220 - Maximiliano de Almeida;83,33%;77,78%;61,11%;75,00%;75,00%;75,00%;77,78%;77,78%;80,56%;88,89%;77,78%;75,00%;86,11%;77,78%;72,22%;77,78%;77,78%;80,56%;80,56%
431360 - Paim Filho;117,86%;103,57%;92,86%;96,43%;96,43%;110,71%;103,57%;89,29%;114,29%;100,00%;103,57%;117,86%;103,57%;103,57%;78,57%;110,71%;100,00%;107,14%;107,14%
431660 - Sananduva;82,76%;73,79%;64,83%;83,45%;62,76%;90,34%;73,79%;69,66%;79,31%;93,10%;73,79%;85,52%;86,90%;73,10%;81,38%;84,83%;93,79%;90,34%;93,79%
431673 - Santa Cecília do Sul;107,69%;107,69%;84,62%;92,31%;76,92%;107,69%;107,69%;69,23%;130,77%;123,08%;107,69%;100,00%;115,38%;107,69%;107,69%;100,00%;115,38%;107,69%;92,31%
431795 - Santo Expedito do Sul;85,00%;100,00%;55,00%;65,00%;70,00%;70,00%;100,00%;75,00%;120,00%;85,00%;100,00%;125,00%;80,00%;95,00%;45,00%;105,00%;100,00%;60,00%;75,00%
431842 - São João da Urtiga;93,94%;106,06%;81,82%;93,94%;106,06%;100,00%;106,06%;87,88%;103,03%;115,15%;106,06%;112,12%;109,09%;106,06%;96,97%;112,12%;115,15%;106,06%;100,00%
431860 - São José do Ouro;106,00%;92,00%;74,00%;88,00%;96,00%;98,00%;92,00%;18,00%;92,00%;100,00%;92,00%;90,00%;102,00%;92,00%;78,00%;86,00%;100,00%;100,00%;94,00%
432090 - Tapejara;100,00%;92,70%;78,73%;85,08%;63,49%;92,38%;91,43%;85,08%;94,92%;83,49%;92,70%;96,51%;87,94%;85,40%;71,75%;94,92%;94,29%;83,17%;85,08%
432218 - Tupanci do Sul;100,00%;183,33%;100,00%;100,00%;100,00%;83,33%;183,33%;100,00%;166,67%;116,67%;183,33%;150,00%;116,67%;183,33%;100,00%;133,33%;116,67%;100,00%;100,00%
432335 - Vila Lângaro;75,00%;250,00%;125,00%;62,50%;187,50%;137,50%;250,00%;62,50%;237,50%;237,50%;250,00%;225,00%;237,50%;250,00%;150,00%;225,00%;250,00%;162,50%;162,50%
Totais;93,40%;90,64%;78,52%;75,37%;75,67%;84,33%;89,66%;83,05%;88,28%;89,66%;90,64%;91,92%;89,46%;90,15%;74,88%;91,53%;94,58%;83,45%;85,52%
430055 - Alto Alegre;92,31%;69,23%;61,54%;69,23%;69,23%;61,54%;69,23%;92,31%;53,85%;46,15%;69,23%;61,54%;69,23%;53,85%;53,85%;61,54%;61,54%;53,85%;53,85%
430140 - Arvorezinha;92,23%;100,97%;68,93%;66,02%;69,90%;68,93%;100,00%;103,88%;98,06%;88,35%;100,97%;96,12%;90,29%;101,94%;61,17%;93,20%;87,38%;70,87%;70,87%
430200 - Barros Cassal;97,14%;104,29%;110,00%;87,14%;107,14%;111,43%;101,43%;97,14%;100,00%;112,86%;104,29%;97,14%;111,43%;104,29%;101,43%;97,14%;118,57%;110,00%;114,29%
430410 - Campos Borges;105,13%;71,79%;61,54%;79,49%;51,28%;58,97%;69,23%;102,56%;58,97%;53,85%;71,79%;84,62%;56,41%;69,23%;51,28%;82,05%;58,97%;56,41%;58,97%
430750 - Espumoso;97,33%;94,00%;74,00%;84,67%;75,33%;80,00%;92,00%;29,33%;95,33%;84,67%;94,00%;96,00%;84,00%;95,33%;68,00%;96,67%;88,67%;80,67%;80,00%
430830 - Fontoura Xavier;108,45%;115,49%;118,31%;85,92%;112,68%;130,99%;115,49%;107,04%;121,13%;128,17%;115,49%;125,35%;121,13%;114,08%;115,49%;128,17%;125,35%;129,58%;130,99%
430995 - Ibirapuitã;94,12%;79,41%;82,35%;111,76%;64,71%;79,41%;79,41%;94,12%;73,53%;100,00%;79,41%;82,35%;102,94%;79,41%;73,53%;82,35%;102,94%;79,41%;79,41%
431057 - Itapuca;83,33%;158,33%;116,67%;91,67%;150,00%;116,67%;158,33%;75,00%;158,33%;141,67%;158,33%;141,67%;141,67%;158,33%;83,33%;141,67%;141,67%;108,33%;108,33%
431125 - Lagoão;107,69%;100,00%;117,95%;107,69%;107,69%;117,95%;100,00%;105,13%;100,00%;102,56%;100,00%;112,82%;100,00%;102,56%;115,38%;107,69%;107,69%;135,90%;133,33%
431242 - Mormaço;96,15%;73,08%;42,31%;73,08%;34,62%;65,38%;73,08%;100,00%;80,77%;53,85%;73,08%;73,08%;50,00%;73,08%;46,15%;76,92%;57,69%;46,15%;42,31%
432080 - Soledade;83,16%;83,50%;69,02%;62,29%;69,70%;79,80%;82,83%;80,81%;81,14%;90,57%;83,50%;88,55%;90,91%;82,49%;71,04%;86,53%;102,02%;78,45%;82,15%
432100 - Tapera;94,90%;70,41%;71,43%;63,27%;48,98%;71,43%;69,39%;91,84%;62,24%;64,29%;70,41%;62,24%;64,29%;68,37%;67,35%;66,33%;66,33%;69,39%;77,55%
432146 - Tio Hugo;96,30%;107,41%;62,96%;48,15%;85,19%;85,19%;107,41%;92,59%;96,30%;85,19%;107,41%;96,30%;92,59%;107,41%;59,26%;92,59%;85,19%;77,78%;77,78%
432215 - Tunas;94,44%;91,67%;86,11%;105,56%;83,33%;80,56%;91,67%;91,67%;94,44%;97,22%;91,67%;94,44%;88,89%;91,67%;83,33%;97,22%;94,44%;77,78%;77,78%
Totais;97,31%;100,44%;86,85%;107,33%;83,22%;96,31%;100,25%;88,92%;98,69%;102,32%;100,44%;101,25%;102,44%;100,13%;86,98%;98,31%;107,33%;92,92%;96,37%
430195 - Barra Funda;123,81%;66,67%;85,71%;185,71%;57,14%;85,71%;66,67%;128,57%;80,95%;76,19%;66,67%;85,71%;71,43%;66,67%;95,24%;85,71%;80,95%;85,71%;80,95%
430215 - Boa Vista das Missões;120,83%;104,17%;75,00%;116,67%;100,00%;83,33%;104,17%;79,17%;116,67%;100,00%;104,17%;108,33%;95,83%;108,33%;79,17%;108,33%;95,83%;79,17%;79,17%
430260 - Braga;116,00%;108,00%;68,00%;112,00%;88,00%;68,00%;108,00%;112,00%;128,00%;84,00%;108,00%;128,00%;80,00%;104,00%;60,00%;132,00%;76,00%;44,00%;68,00%
430515 - Cerro Grande;92,31%;80,77%;115,38%;88,46%;76,92%;119,23%;80,77%;26,92%;80,77%;107,69%;80,77%;80,77%;100,00%;80,77%;100,00%;76,92%;142,31%;142,31%;142,31%
430530 - Chapada;108,96%;129,85%;125,37%;128,36%;123,88%;135,82%;131,34%;94,03%;125,37%;135,82%;131,34%;111,94%;123,88%;132,84%;125,37%;114,93%;149,25%;137,31%;144,78%
430580 - Constantina;105,88%;110,78%;87,25%;92,16%;71,57%;106,86%;110,78%;83,33%;108,82%;99,02%;110,78%;111,76%;98,04%;110,78%;86,27%;110,78%;104,90%;96,08%;107,84%
430590 - Coronel Bicaco;100,00%;98,53%;83,82%;141,18%;75,00%;88,24%;97,06%;111,76%;100,00%;101,47%;98,53%;95,59%;105,88%;97,06%;86,76%;88,24%;104,41%;88,24%;88,24%
430642 - Dois Irmãos das Missões;104,76%;109,52%;61,90%;171,43%;80,95%;80,95%;109,52%;104,76%;90,48%;95,24%;109,52%;85,71%;100,00%;104,76%;61,90%;85,71%;109,52%;66,67%;76,19%
430692 - Engenho Velho;68,75%;81,25%;118,75%;125,00%;93,75%;112,50%;81,25%;62,50%;68,75%;106,25%;81,25%;75,00%;118,75%;75,00%;106,25%;68,75%;137,50%;131,25%;137,50%
430912 - Gramado dos Loureiros;81,48%;66,67%;77,78%;81,48%;48,15%;74,07%;66,67%;70,37%;59,26%;77,78%;66,67%;66,67%;85,19%;62,96%;77,78%;74,07%;88,89%;77,78%;77,78%
431085 - Jaboticaba;57,58%;51,52%;69,70%;48,48%;33,33%;66,67%;51,52%;81,82%;57,58%;63,64%;51,52%;75,76%;63,64%;51,52%;72,73%;60,61%;75,76%;72,73%;69,70%
431142 - Lajeado do Bugre;95,00%;100,00%;90,00%;65,00%;95,00%;85,00%;100,00%;75,00%;80,00%;100,00%;100,00%;120,00%;105,00%;110,00%;75,00%;100,00%;100,00%;75,00%;75,00%
431230 - Miraguaí;120,41%;144,90%;114,29%;116,33%;120,41%;116,33%;140,82%;116,33%;142,86%;140,82%;144,90%;136,73%;138,78%;138,78%;110,20%;128,57%;134,69%;116,33%;124,49%
431295 - Nova Boa Vista;113,33%;86,67%;93,33%;200,00%;100,00%;113,33%;86,67%;106,67%;106,67%;133,33%;86,67%;93,33%;133,33%;86,67%;106,67%;80,00%;140,00%;113,33%;113,33%
431346 - Novo Xingu;100,00%;85,71%;100,00%;200,00%;85,71%;107,14%;85,71%;100,00%;100,00%;78,57%;85,71%;92,86%;85,71%;85,71%;107,14%;100,00%;78,57%;107,14%;107,14%
431349 - Novo Barreiro;118,75%;81,25%;87,50%;131,25%;71,88%;90,63%;81,25%;112,50%;81,25%;87,50%;81,25%;100,00%;84,38%;81,25%;93,75%;100,00%;87,50%;96,88%;100,00%
431370 - Palmeira das Missões;98,12%;100,54%;68,55%;100,00%;75,00%;80,11%;100,54%;96,51%;101,61%;93,01%;100,54%;105,11%;95,16%;100,54%;72,85%;100,81%;91,40%;73,12%;73,66%
431540 - Redentora;74,00%;67,33%;62,00%;72,67%;52,67%;68,00%;68,67%;66,00%;68,00%;80,67%;67,33%;77,33%;80,67%;66,67%;60,00%;72,67%;90,67%;66,67%;69,33%
431610 - Ronda Alta;100,00%;96,51%;97,67%;91,86%;98,84%;108,14%;95,35%;89,53%;103,49%;112,79%;96,51%;102,33%;116,28%;96,51%;90,70%;101,16%;125,58%;104,65%;105,81%
431620 - Rondinha;96,43%;110,71%;67,86%;178,57%;78,57%;85,71%;114,29%;82,14%;103,57%;107,14%;110,71%;107,14%;92,86%;110,71%;75,00%;110,71%;100,00%;100,00%;92,86%
431642 - Sagrada Família;106,25%;137,50%;150,00%;93,75%;181,25%;137,50%;137,50%;112,50%;112,50%;168,75%;137,50%;106,25%;162,50%;137,50%;143,75%;118,75%;162,50%;137,50%;137,50%
431845 - São José das Missões;100,00%;72,73%;100,00%;150,00%;45,45%;100,00%;72,73%;100,00%;95,45%;59,09%;72,73%;81,82%;54,55%;72,73%;90,91%;86,36%;68,18%;86,36%;86,36%
431936 - São Pedro das Missões;105,88%;88,24%;123,53%;194,12%;100,00%;117,65%;88,24%;94,12%;82,35%;129,41%;88,24%;105,88%;135,29%;94,12%;117,65%;100,00%;141,18%;135,29%;135,29%
432010 - Sarandi;95,36%;113,08%;90,72%;100,42%;97,05%;112,66%;112,66%;75,11%;104,22%;113,08%;113,08%;106,75%;115,19%;112,66%;96,20%;104,22%;121,52%;108,86%;116,03%
432185 - Três Palmeiras;94,44%;133,33%;136,11%;75,00%;119,44%;127,78%;127,78%;86,11%;102,78%;144,44%;130,56%;102,78%;141,67%;130,56%;127,78%;97,22%;152,78%;116,67%;122,22%
432195 - Trindade do Sul;95,89%;108,22%;117,81%;136,99%;90,41%;117,81%;108,22%;104,11%;100,00%;110,96%;108,22%;102,74%;108,22%;108,22%;104,11%;101,37%;109,59%;109,59%;112,33%
;98,47%;98,48%;94,25%;97,80%;84,35%;90,00%;97,71%;94,46%;93,68%;90,32%;98,47%;100,12%;102,05%;98,24%;87,35%;97,35%;104,30%;93,29%;94,47%
Totais;96,91%;99,63%;97,36%;90,09%;90,49%;95,00%;99,51%;93,54%;97,77%;100,85%;99,59%;101,46%;104,02%;98,94%;89,56%;97,60%;105,93%;94,35%;95,61%
430250 - Bossoroca;116,67%;152,78%;97,22%;119,44%;127,78%;102,78%;155,56%;88,89%;136,11%;113,89%;152,78%;125,00%;113,89%;150,00%;83,33%;125,00%;119,44%;108,33%;111,11%
430330 - Caibaté;106,25%;90,63%;143,75%;112,50%;93,75%;137,50%;90,63%;100,00%;84,38%;128,13%;90,63%;87,50%;121,88%;90,63%;118,75%;87,50%;128,13%;140,63%;140,63%
430520 - Cerro Largo;104,24%;94,92%;96,61%;90,68%;99,15%;87,29%;94,07%;105,08%;88,98%;109,32%;94,92%;90,68%;105,93%;94,92%;88,14%;88,98%;111,02%;94,07%;96,61%
430635 - Dezesseis de Novembro;106,25%;118,75%;87,50%;50,00%;75,00%;87,50%;112,50%;100,00%;125,00%;81,25%;118,75%;143,75%;81,25%;118,75%;68,75%;131,25%;93,75%;87,50%;87,50%
430693 - Entre-Ijuís;98,53%;85,29%;104,41%;80,88%;85,29%;102,94%;85,29%;98,53%;92,65%;94,12%;85,29%;88,24%;110,29%;72,06%;88,24%;85,29%;111,76%;101,47%;102,94%
430783 - Eugênio de Castro;94,74%;94,74%;89,47%;100,00%;126,32%;105,26%;94,74%;78,95%;89,47%;115,79%;94,74%;94,74%;110,53%;94,74%;89,47%;89,47%;115,79%;94,74%;94,74%
430865 - Garruchos;93,33%;73,33%;160,00%;80,00%;86,67%;153,33%;73,33%;93,33%;86,67%;140,00%;73,33%;80,00%;146,67%;73,33%;140,00%;86,67%;140,00%;160,00%;153,33%
430950 - Guarani das Missões;81,67%;80,00%;65,00%;106,67%;65,00%;73,33%;80,00%;80,00%;75,00%;81,67%;80,00%;83,33%;83,33%;78,33%;60,00%;80,00%;83,33%;63,33%;61,67%
431217 - Mato Queimado;90,91%;172,73%;81,82%;127,27%;136,36%;90,91%;172,73%;81,82%;172,73%;118,18%;172,73%;154,55%;118,18%;172,73%;72,73%;154,55%;127,27%;72,73%;72,73%
431455 - Pirapó;100,00%;150,00%;187,50%;137,50%;187,50%;200,00%;150,00%;100,00%;112,50%;212,50%;150,00%;137,50%;212,50%;150,00%;125,00%;137,50%;212,50%;200,00%;200,00%
431510 - Porto Xavier;83,51%;68,04%;87,63%;58,76%;64,95%;57,73%;67,01%;73,20%;67,01%;67,01%;68,04%;77,32%;91,75%;68,04%;79,38%;76,29%;96,91%;85,57%;85,57%
431595 - Rolador;88,24%;58,82%;88,24%;58,82%;70,59%;88,24%;58,82%;52,94%;52,94%;70,59%;58,82%;64,71%;70,59%;52,94%;82,35%;64,71%;64,71%;88,24%;88,24%
431630 - Roque Gonzales;86,67%;77,78%;64,44%;93,33%;55,56%;53,33%;77,78%;31,11%;68,89%;46,67%;77,78%;82,22%;66,67%;71,11%;60,00%;82,22%;68,89%;73,33%;68,89%
431647 - Salvador das Missões;125,00%;212,50%;212,50%;162,50%;231,25%;218,75%;212,50%;112,50%;181,25%;181,25%;212,50%;162,50%;187,50%;212,50%;181,25%;156,25%;187,50%;212,50%;212,50%
431750 - Santo Ângelo;101,28%;97,69%;91,78%;87,29%;85,49%;93,71%;97,82%;97,95%;97,18%;98,84%;97,69%;103,08%;99,87%;97,69%;84,85%;97,56%;101,93%;88,70%;89,86%
