Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
430930 - Guaíba;111,93%;92,96%;76,64%;74,78%;65,49%;78,10%;92,96%;114,66%;103,32%;89,74%;92,96%;93,74%;81,33%;92,67%;79,18%;90,91%;82,60%;70,67%;71,07%
431198 - Mariana Pimentel;97,22%;108,33%;66,67%;116,67%;83,33%;75,00%;108,33%;111,11%;125,00%;102,78%;108,33%;125,00%;97,22%;113,89%;69,44%;119,44%;147,22%;11,11%;83,33%
431225 - Minas do Leão;70,59%;73,53%;70,59%;50,00%;46,08%;59,80%;73,53%;79,41%;88,24%;77,45%;73,53%;81,37%;79,41%;75,49%;65,69%;80,39%;65,69%;44,12%;38,24%
431840 - São Jerônimo;98,67%;94,25%;67,26%;70,35%;48,23%;70,80%;94,25%;96,02%;95,13%;89,82%;94,25%;101,33%;89,38%;93,36%;71,68%;90,71%;84,96%;45,58%;63,27%
432035 - Sentinela do Sul;109,09%;112,12%;21,21%;136,36%;109,09%;124,24%;112,12%;72,73%;121,21%;139,39%;112,12%;118,18%;124,24%;109,09%;127,27%;109,09%;148,48%;106,06%;69,70%
432055 - Sertão Santana;86,00%;122,00%;98,00%;106,00%;104,00%;102,00%;122,00%;56,00%;130,00%;120,00%;122,00%;112,00%;120,00%;118,00%;96,00%;106,00%;114,00%;72,00%;90,00%
432110 - Tapes;77,18%;85,23%;77,85%;71,81%;67,11%;85,23%;85,23%;30,20%;83,22%;78,52%;85,23%;91,28%;73,15%;87,92%;82,55%;87,92%;74,50%;67,11%;65,10%
Totais;116,20%;88,57%;81,52%;84,62%;65,07%;86,36%;88,61%;121,82%;96,03%;91,73%;88,55%;93,51%;87,52%;88,08%;81,51%;89,63%;99,01%;61,79%;86,62%
430060 - Alvorada;119,24%;85,12%;82,73%;86,58%;50,82%;88,32%;85,12%;132,33%;100,47%;96,81%;85,12%;95,21%;91,46%;79,26%;82,68%;90,61%;100,28%;54,29%;95,26%
430310 - Cachoeirinha;109,80%;87,69%;84,65%;81,14%;66,19%;87,22%;87,76%;114,47%;94,66%;88,78%;87,69%;93,78%;87,69%;88,57%;83,77%;90,40%;89,32%;69,24%;79,38%
430905 - Glorinha;103,57%;102,38%;80,95%;91,67%;57,14%;100,00%;102,38%;89,29%;111,90%;104,76%;102,38%;108,33%;101,19%;96,43%;88,10%;100,00%;85,71%;64,29%;73,81%
430920 - Gravataí;111,81%;96,56%;88,34%;87,45%;71,47%;91,30%;96,63%;112,36%;114,73%;107,59%;96,52%;102,96%;97,22%;97,08%;88,53%;99,07%;112,55%;72,43%;105,92%
431490 - Porto Alegre;113,97%;85,63%;77,55%;84,51%;63,26%;82,21%;85,67%;120,57%;89,10%;85,08%;85,60%;88,62%;82,38%;85,62%;77,87%;85,13%;94,88%;58,07%;80,08%
432300 - Viamão;138,53%;101,10%;95,25%;81,86%;82,73%;103,98%;101,15%;138,05%;112,96%;111,13%;101,10%;110,75%;103,89%;100,82%;93,23%;104,94%;114,64%;74,71%;101,34%
;73,57%;81,66%;72,16%;73,41%;63,73%;77,82%;81,89%;74,69%;87,51%;84,68%;81,65%;88,11%;78,45%;81,55%;73,22%;85,05%;85,26%;63,71%;70,29%
Totais;75,00%;84,90%;78,74%;84,98%;66,89%;85,00%;84,94%;68,24%;98,17%;96,34%;84,90%;92,79%;85,43%;84,90%;80,08%;89,41%;91,52%;73,11%;76,42%
430010 - Agudo;109,84%;85,79%;77,60%;73,22%;79,23%;77,05%;85,79%;106,01%;108,74%;93,44%;85,79%;90,71%;79,23%;85,79%;77,60%;86,34%;81,42%;72,68%;79,23%
430637 - Dilermando de Aguiar;56,67%;50,00%;80,00%;76,67%;43,33%;83,33%;50,00%;53,33%;93,33%;80,00%;50,00%;86,67%;70,00%;56,67%;76,67%;86,67%;73,33%;66,67%;83,33%
430670 - Dona Francisca;55,56%;66,67%;51,85%;100,00%;48,15%;62,96%;66,67%;62,96%;92,59%;62,96%;66,67%;81,48%;70,37%;66,67%;62,96%;81,48%;66,67%;48,15%;55,56%
430800 - Faxinal do Soturno;68,49%;72,60%;82,19%;86,30%;69,86%;79,45%;72,60%;60,27%;72,60%;72,60%;72,60%;86,30%;69,86%;69,86%;83,56%;87,67%;75,34%;73,97%;76,71%
430840 - Formigueiro;56,67%;93,33%;101,67%;80,00%;86,67%;100,00%;93,33%;53,33%;111,67%;103,33%;93,33%;91,67%;98,33%;91,67%;108,33%;88,33%;98,33%;103,33%;113,33%
431053 - Itaara;115,87%;74,60%;68,25%;66,67%;66,67%;76,19%;74,60%;115,87%;100,00%;85,71%;74,60%;82,54%;69,84%;69,84%;68,25%;82,54%;69,84%;71,43%;68,25%
431075 - Ivorá;45,45%;54,55%;81,82%;109,09%;45,45%;90,91%;54,55%;54,55%;45,45%;72,73%;54,55%;63,64%;72,73%;63,64%;72,73%;54,55%;100,00%;90,91%;90,91%
431120 - Júlio de Castilhos;76,12%;94,03%;102,99%;130,35%;67,66%;117,41%;94,03%;72,14%;105,97%;107,46%;94,03%;118,91%;106,97%;94,03%;111,94%;116,92%;111,94%;110,45%;104,98%
431310 - Nova Palma;90,16%;80,33%;65,57%;98,36%;63,93%;68,85%;80,33%;85,25%;73,77%;65,57%;80,33%;88,52%;63,93%;81,97%;65,57%;85,25%;67,21%;65,57%;67,21%
431402 - Paraíso do Sul;109,80%;100,00%;107,84%;115,69%;88,24%;115,69%;100,00%;107,84%;107,84%;115,69%;100,00%;111,76%;107,84%;100,00%;111,76%;107,84%;101,96%;107,84%;107,84%
431447 - Pinhal Grande;64,71%;76,47%;70,59%;79,41%;58,82%;76,47%;76,47%;64,71%;82,35%;50,00%;76,47%;102,94%;58,82%;76,47%;73,53%;102,94%;58,82%;47,06%;64,71%
431532 - Quevedos;75,00%;108,33%;100,00%;70,83%;70,83%;95,83%;108,33%;70,83%;91,67%;87,50%;108,33%;104,17%;83,33%;112,50%;95,83%;95,83%;91,67%;70,83%;104,17%
431550 - Restinga Sêca;70,50%;78,42%;94,96%;77,70%;31,65%;92,09%;78,42%;62,59%;94,96%;84,17%;78,42%;88,49%;84,17%;79,14%;94,24%;91,37%;96,40%;82,01%;87,05%
431690 - Santa Maria;72,46%;82,86%;73,46%;81,29%;64,02%;81,03%;82,89%;65,26%;96,33%;94,93%;82,86%;91,10%;82,86%;83,03%;74,69%;87,10%;87,93%;68,36%;71,26%
431843 - São João do Polêsine;58,62%;51,72%;82,76%;93,10%;51,72%;72,41%;55,17%;51,72%;44,83%;65,52%;51,72%;51,72%;72,41%;55,17%;82,76%;48,28%;89,66%;86,21%;62,07%
431912 - São Martinho da Serra;82,61%;113,04%;121,74%;52,17%;108,70%;126,09%;113,04%;73,91%;134,78%;147,83%;113,04%;126,09%;156,52%;117,39%;130,43%;121,74%;165,22%;34,78%;113,04%
431940 - São Pedro do Sul;65,56%;96,69%;86,09%;101,99%;78,81%;92,72%;96,69%;59,60%;110,60%;105,30%;96,69%;94,04%;81,46%;97,35%;86,75%;94,04%;101,99%;84,11%;81,46%
431960 - São Sepé;60,00%;100,48%;100,48%;90,00%;91,90%;101,43%;100,48%;50,95%;103,81%;126,19%;100,48%;99,05%;108,10%;99,05%;98,57%;95,71%;132,86%;94,29%;90,95%
432065 - Silveira Martins;68,42%;131,58%;26,32%;110,53%;68,42%;36,84%;131,58%;68,42%;126,32%;68,42%;131,58%;126,32%;73,68%;121,05%;31,58%;121,05%;57,89%;15,79%;26,32%
432149 - Toropi;58,82%;100,00%;111,76%;123,53%;117,65%;111,76%;100,00%;52,94%;88,24%;100,00%;100,00%;76,47%;82,35%;94,12%;105,88%;76,47%;111,76%;100,00%;100,00%
432220 - Tupanciretã;93,52%;82,87%;81,02%;79,63%;72,22%;87,04%;82,87%;81,94%;106,48%;105,56%;82,87%;87,04%;93,98%;83,33%;81,48%;83,80%;92,59%;77,31%;84,26%
432345 - Vila Nova do Sul;111,11%;148,15%;111,11%;125,93%;96,30%;114,81%;148,15%;100,00%;151,85%;137,04%;148,15%;140,74%;129,63%;137,04%;111,11%;125,93%;140,74%;7,41%;59,26%
Totais;49,82%;75,27%;67,33%;74,10%;62,91%;69,22%;75,27%;35,74%;68,95%;76,17%;75,27%;77,89%;72,92%;75,99%;68,59%;76,99%;78,16%;63,90%;63,00%
430290 - Cacequi;71,88%;131,25%;108,33%;104,17%;72,92%;115,63%;131,25%;60,42%;119,79%;104,17%;131,25%;140,63%;115,63%;133,33%;112,50%;135,42%;123,96%;118,75%;109,38%
430465 - Capão do Cipó;60,71%;82,14%;107,14%;53,57%;92,86%;110,71%;82,14%;7,14%;78,57%;103,57%;82,14%;92,86%;100,00%;82,14%;110,71%;103,57%;100,00%;114,29%;114,29%
431055 - Itacurubi;86,36%;77,27%;90,91%;104,55%;77,27%;86,36%;77,27%;81,82%;95,45%;90,91%;77,27%;90,91%;90,91%;90,91%;81,82%;95,45%;86,36%;63,64%;59,09%
431110 - Jaguari;81,58%;78,95%;103,95%;109,21%;85,53%;101,32%;78,95%;26,32%;85,53%;111,84%;78,95%;77,63%;94,74%;78,95%;102,63%;76,32%;98,68%;97,37%;94,74%
431113 - Jari;64,52%;67,74%;64,52%;70,97%;41,94%;61,29%;67,74%;61,29%;83,87%;77,42%;67,74%;80,65%;70,97%;77,42%;61,29%;87,10%;87,10%;61,29%;70,97%
431210 - Mata;97,67%;95,35%;90,70%;104,65%;81,40%;97,67%;95,35%;93,02%;109,30%;86,05%;95,35%;95,35%;88,37%;95,35%;90,70%;95,35%;93,02%;100,00%;95,35%
431303 - Nova Esperança do Sul;102,08%;106,25%;87,50%;93,75%;81,25%;83,33%;106,25%;52,08%;122,92%;106,25%;106,25%;102,08%;93,75%;106,25%;89,58%;102,08%;91,67%;68,75%;83,33%
431740 - Santiago;20,12%;46,09%;41,02%;50,39%;39,65%;41,60%;46,09%;14,26%;31,25%;47,85%;46,09%;49,61%;47,66%;45,70%;42,19%;48,63%;48,05%;36,13%;33,59%
431810 - São Francisco de Assis;69,39%;105,44%;74,83%;99,32%;91,16%;81,63%;105,44%;54,42%;81,63%;88,44%;105,44%;102,04%;83,67%;105,44%;78,91%;102,04%;101,36%;78,23%;80,95%
431980 - São Vicente do Sul;55,68%;98,86%;85,23%;79,55%;89,77%;88,64%;98,86%;48,86%;125,00%;114,77%;98,86%;97,73%;95,45%;101,14%;85,23%;92,05%;109,09%;85,23%;79,55%
432237 - Unistalda;117,65%;100,00%;100,00%;82,35%;94,12%;100,00%;100,00%;105,88%;111,76%;129,41%;100,00%;105,88%;123,53%;100,00%;100,00%;105,88%;135,29%;23,53%;70,59%
Totais;77,44%;80,09%;67,17%;62,63%;61,01%;73,10%;80,55%;89,14%;81,79%;75,82%;80,07%;86,06%;73,24%;79,70%;67,94%;82,82%;81,06%;55,05%;66,27%
430040 - Alegrete;79,05%;87,53%;76,26%;61,27%;76,53%;77,72%;87,53%;85,68%;95,23%;83,29%;87,53%;92,57%;85,28%;87,80%;75,20%;89,39%;86,47%;69,63%;77,32%
430187 - Barra do Quaraí;87,18%;46,15%;58,97%;61,54%;35,90%;61,54%;46,15%;112,82%;48,72%;64,10%;46,15%;66,67%;71,79%;46,15%;56,41%;66,67%;87,18%;17,95%;64,10%
431060 - Itaqui;96,51%;88,03%;79,30%;76,81%;69,08%;85,04%;88,03%;105,74%;95,01%;93,02%;88,03%;96,01%;87,28%;87,78%;77,56%;93,77%;96,01%;46,38%;82,79%
431171 - Maçambará;100,00%;101,92%;84,62%;105,77%;75,00%;90,38%;101,92%;134,62%;123,08%;73,08%;101,92%;107,69%;78,85%;101,92%;84,62%;100,00%;82,69%;36,54%;63,46%
431175 - Manoel Viana;52,56%;111,54%;65,38%;75,64%;85,90%;61,54%;111,54%;53,85%;142,31%;82,05%;111,54%;117,95%;74,36%;114,10%;65,38%;116,67%;76,92%;57,69%;53,85%
431530 - Quaraí;8,77%;107,89%;102,63%;83,77%;88,60%;107,02%;107,89%;92,98%;105,70%;95,18%;107,89%;108,33%;103,95%;107,02%;101,75%;104,39%;103,95%;64,04%;79,82%
431640 - Rosário do Sul;71,22%;79,14%;57,55%;59,47%;53,00%;75,06%;78,90%;73,14%;77,22%;69,06%;78,90%;82,01%;67,63%;81,06%;59,95%;79,38%;83,45%;60,19%;66,43%
431697 - Santa Margarida do Sul;64,29%;42,86%;64,29%;164,29%;50,00%;78,57%;42,86%;14,29%;50,00%;50,00%;42,86%;78,57%;28,57%;42,86%;85,71%;78,57%;85,71%;57,14%;78,57%
431710 - Sant'Ana do Livramento;108,02%;81,18%;69,95%;75,72%;57,11%;75,51%;83,74%;104,92%;80,75%;77,86%;81,18%;88,98%;78,40%;81,18%;68,98%;82,57%;92,83%;50,70%;74,55%
431830 - São Gabriel;90,58%;75,95%;61,32%;69,62%;55,27%;67,65%;75,95%;86,92%;86,64%;80,59%;75,95%;87,34%;58,65%;76,09%;60,62%;85,37%;74,40%;54,29%;53,16%
432240 - Uruguaiana;57,95%;69,94%;56,97%;41,70%;52,86%;62,76%;69,94%;81,52%;63,25%;62,62%;69,94%;73,01%;63,81%;67,85%;61,02%;70,78%;65,27%;51,60%;55,44%
;76,12%;91,98%;85,27%;81,93%;82,19%;89,58%;91,94%;76,39%;97,88%;91,27%;91,93%;93,14%;81,16%;92,26%;84,55%;91,46%;96,98%;74,17%;70,40%
;91,13%;96,80%;85,77%;81,53%;83,03%;92,64%;96,76%;88,41%;100,73%;94,48%;96,74%;96,72%;82,28%;97,50%;88,03%;95,03%;99,19%;78,50%;73,73%
Totais;93,91%;95,73%;88,90%;88,60%;87,34%;93,65%;95,58%;88,41%;100,11%;94,39%;95,58%;98,66%;82,58%;96,06%;87,97%;96,36%;100,48%;79,84%;73,60%
420140 - Araranguá;103,05%;98,53%;99,77%;90,06%;94,12%;103,39%;98,42%;98,53%;113,11%;111,30%;98,42%;103,50%;104,41%;98,98%;100,68%;101,47%;111,41%;83,16%;82,37%
420195 - Balneário Arroio do Silva;96,34%;103,05%;90,85%;81,10%;89,02%;101,22%;102,44%;88,41%;88,41%;105,49%;102,44%;103,05%;104,27%;104,27%;74,39%;97,56%;105,49%;85,98%;85,98%
420207 - Balneário Gaivota;82,35%;86,27%;62,25%;96,57%;70,59%;71,57%;86,27%;75,49%;89,71%;79,41%;86,27%;88,73%;76,96%;85,29%;64,22%;86,27%;79,90%;64,22%;52,45%
420519 - Ermo;27,59%;93,10%;89,66%;79,31%;86,21%;106,90%;93,10%;37,93%;89,66%;89,66%;93,10%;93,10%;89,66%;93,10%;96,55%;96,55%;100,00%;106,90%;96,55%
420870 - Jacinto Machado;102,27%;89,39%;59,09%;86,36%;81,82%;75,00%;89,39%;94,70%;92,42%;66,67%;89,39%;96,21%;3,03%;88,64%;68,18%;93,94%;107,58%;94,70%;73,48%
421040 - Maracajá;99,08%;111,93%;83,49%;105,50%;95,41%;85,32%;111,93%;88,99%;135,78%;98,17%;111,93%;117,43%;97,25%;111,93%;78,90%;118,35%;103,67%;75,23%;59,63%
421080 - Meleiro;85,90%;103,85%;78,21%;53,85%;97,44%;80,77%;102,56%;80,77%;103,85%;79,49%;102,56%;106,41%;88,46%;103,85%;79,49%;102,56%;92,31%;78,21%;66,67%
421125 - Morro Grande;92,50%;92,50%;97,50%;112,50%;87,50%;97,50%;92,50%;85,00%;97,50%;107,50%;92,50%;90,00%;97,50%;95,00%;92,50%;90,00%;102,50%;90,00%;85,00%
421225 - Passo de Torres;78,36%;88,06%;73,88%;81,34%;70,15%;76,12%;88,06%;63,43%;98,51%;73,88%;88,06%;93,28%;67,91%;88,81%;72,39%;91,79%;83,58%;58,96%;53,73%
421380 - Praia Grande;100,00%;108,25%;92,78%;110,31%;90,72%;97,94%;108,25%;101,03%;122,68%;94,85%;108,25%;104,12%;69,07%;107,22%;92,78%;96,91%;123,71%;72,16%;73,20%
421565 - Santa Rosa do Sul;92,98%;112,28%;93,86%;91,23%;96,49%;100,00%;112,28%;88,60%;103,51%;101,75%;112,28%;103,51%;103,51%;111,40%;96,49%;98,25%;105,26%;89,47%;73,68%
421640 - São João do Sul;114,29%;113,27%;123,47%;101,02%;117,35%;124,49%;113,27%;107,14%;115,31%;103,06%;113,27%;113,27%;104,08%;114,29%;123,47%;112,24%;113,27%;121,43%;94,90%
421770 - Sombrio;75,19%;79,28%;85,93%;82,61%;73,40%;90,28%;79,28%;71,87%;68,03%;77,75%;79,28%;82,86%;76,47%;80,56%;84,91%;80,82%;78,26%;81,33%;65,73%
421810 - Timbé do Sul;116,39%;100,00%;75,41%;59,02%;100,00%;70,49%;100,00%;106,56%;77,05%;80,33%;100,00%;95,08%;18,03%;98,36%;65,57%;95,08%;109,84%;47,54%;63,93%
421880 - Turvo;96,18%;91,08%;89,81%;90,45%;80,25%;89,81%;90,45%;92,36%;99,36%;85,99%;90,45%;97,45%;25,48%;91,72%;84,08%;96,18%;96,18%;57,32%;71,97%
Totais;95,19%;97,50%;84,81%;81,55%;86,19%;94,36%;97,46%;90,87%;100,55%;94,94%;97,46%;97,37%;85,68%;98,40%;91,05%;96,60%;98,89%;83,17%;76,25%
420425 - Cocal do Sul;95,32%;105,85%;109,36%;98,83%;96,49%;119,30%;105,85%;91,23%;108,77%;108,77%;105,85%;101,17%;115,20%;105,85%;109,36%;105,26%;122,81%;111,70%;101,17%
420460 - Criciúma;91,22%;94,67%;81,97%;79,62%;83,57%;92,71%;94,67%;86,76%;98,73%;92,75%;94,67%;94,16%;81,65%;94,49%;89,26%;93,33%;95,28%;81,10%;74,72%
420545 - Forquilhinha;103,68%;99,59%;90,18%;88,55%;94,27%;96,11%;99,59%;97,14%;98,36%;107,16%;99,59%;98,98%;97,75%;102,86%;95,91%;96,93%;101,64%;89,78%;68,51%
420700 - Içara;103,48%;103,61%;92,27%;71,01%;89,43%;96,91%;103,61%;98,97%;107,35%;104,38%;103,61%;102,19%;90,34%;105,54%;94,72%;101,80%;98,71%;90,21%;81,31%
420960 - Lauro Müller;97,99%;94,63%;102,01%;67,79%;79,19%;100,00%;94,63%;93,96%;97,32%;91,28%;94,63%;106,71%;91,95%;93,96%;99,33%;109,40%;99,33%;98,66%;85,91%
421120 - Morro da Fumaça;93,93%;99,60%;90,28%;80,57%;86,23%;93,12%;99,60%;90,69%;87,04%;87,04%;99,60%;98,79%;56,28%;100,40%;86,64%;96,36%;95,95%;85,83%;75,30%
421160 - Nova Veneza;95,21%;68,86%;52,69%;89,82%;88,02%;88,02%;68,86%;89,22%;83,83%;73,05%;68,86%;94,61%;83,83%;88,02%;71,26%;89,82%;98,80%;82,04%;74,25%
421170 - Orleans;100,32%;94,27%;82,48%;100,64%;77,39%;87,26%;94,27%;100,96%;99,36%;87,90%;94,27%;93,63%;81,53%;94,27%;86,31%;93,95%;90,45%;71,66%;69,11%
421760 - Siderópolis;103,16%;99,37%;83,54%;96,20%;82,28%;87,34%;99,37%;101,27%;105,70%;89,87%;99,37%;100,00%;87,97%;97,47%;85,44%;98,73%;118,99%;45,57%;76,58%
421835 - Treviso;116,22%;86,49%;91,89%;108,11%;75,68%;86,49%;86,49%;100,00%;105,41%;75,68%;86,49%;89,19%;72,97%;86,49%;86,49%;83,78%;75,68%;81,08%;75,68%
421900 - Urussanga;73,36%;117,76%;100,47%;69,16%;108,41%;103,27%;116,82%;69,16%;114,49%;88,79%;116,82%;103,74%;97,20%;117,29%;99,07%;105,14%;121,96%;85,51%;82,24%
422000 - Balneário Rincão;101,52%;108,12%;54,31%;88,83%;79,70%;92,89%;108,12%;97,46%;112,69%;103,05%;108,12%;108,12%;96,45%;106,09%;93,91%;105,58%;102,54%;75,63%;75,63%
Totais;84,74%;96,59%;85,13%;77,51%;76,84%;90,01%;96,59%;85,47%;101,30%;93,99%;96,55%;94,85%;78,08%;97,24%;84,46%;92,42%;98,81%;72,19%;70,81%
420150 - Armazém;113,68%;124,79%;99,15%;87,18%;105,98%;100,00%;124,79%;106,84%;141,88%;111,11%;124,79%;123,08%;105,98%;124,79%;97,44%;119,66%;176,07%;20,51%;82,05%
420280 - Braço do Norte;96,83%;99,82%;87,30%;84,66%;86,60%;90,12%;99,65%;94,53%;105,47%;98,24%;99,82%;94,36%;85,71%;101,59%;85,19%;96,65%;91,71%;78,13%;67,72%
420395 - Capivari de Baixo;79,34%;97,05%;94,83%;98,52%;116,24%;105,90%;97,05%;76,01%;97,79%;92,62%;97,05%;93,73%;96,31%;93,73%;96,68%;90,41%;97,42%;83,76%;75,28%
420610 - Grão Pará;98,70%;132,47%;138,96%;83,12%;135,06%;137,66%;132,47%;101,30%;141,56%;155,84%;132,47%;122,08%;142,86%;132,47%;137,66%;115,58%;145,45%;123,38%;106,49%
420620 - Gravatal;87,42%;93,08%;77,99%;83,02%;74,21%;74,84%;93,08%;89,31%;120,13%;90,57%;93,08%;91,19%;71,07%;91,82%;79,25%;87,42%;76,10%;63,52%;59,75%
420720 - Imaruí;104,39%;87,72%;82,46%;72,81%;75,44%;86,84%;87,72%;101,75%;93,86%;82,46%;87,72%;94,74%;80,70%;87,72%;85,96%;91,23%;87,72%;84,21%;66,67%
420730 - Imbituba;30,90%;89,22%;75,91%;58,80%;12,20%;85,26%;88,91%;34,39%;98,89%;93,82%;88,91%;89,38%;14,90%;90,97%;75,75%;84,15%;90,65%;68,94%;49,60%
420880 - Jaguaruna;81,88%;106,62%;88,85%;91,99%;89,20%;92,33%;106,97%;81,18%;93,03%;91,64%;106,62%;97,56%;88,50%;105,23%;88,15%;99,65%;91,64%;86,76%;69,34%
420940 - Laguna;100,23%;94,02%;97,47%;88,51%;82,07%;98,39%;94,02%;97,93%;100,92%;98,62%;94,02%;98,85%;94,48%;94,94%;97,47%;95,63%;120,69%;56,55%;82,53%
421240 - Pedras Grandes;129,41%;164,71%;158,82%;85,29%;147,06%;167,65%;164,71%;120,59%;138,24%;179,41%;164,71%;132,35%;173,53%;164,71%;150,00%;135,29%;176,47%;202,94%;202,94%
421265 - Pescaria Brava;56,98%;118,60%;120,93%;102,33%;125,58%;108,14%;118,60%;67,44%;109,30%;124,42%;118,60%;105,81%;124,42%;117,44%;117,44%;98,84%;139,53%;83,72%;94,19%
421490 - Rio Fortuna;98,63%;113,70%;93,15%;98,63%;82,19%;89,04%;113,70%;95,89%;134,25%;98,63%;113,70%;102,74%;82,19%;113,70%;86,30%;97,26%;83,56%;87,67%;79,45%
421545 - Sangão;107,77%;95,63%;86,89%;83,50%;77,18%;89,81%;95,63%;104,85%;109,71%;86,89%;95,63%;102,43%;81,55%;95,63%;87,38%;102,91%;85,92%;77,67%;73,79%
421560 - Santa Rosa de Lima;125,00%;125,00%;168,75%;75,00%;143,75%;193,75%;125,00%;125,00%;118,75%;143,75%;125,00%;150,00%;125,00%;125,00%;162,50%;143,75%;137,50%;212,50%;275,00%
421700 - São Ludgero;95,89%;100,00%;99,09%;97,72%;99,54%;98,63%;100,00%;94,52%;112,79%;115,07%;100,00%;97,72%;97,26%;100,46%;97,26%;96,35%;100,91%;97,26%;78,08%
421710 - São Martinho;90,74%;122,22%;103,70%;59,26%;107,41%;105,56%;122,22%;85,19%;111,11%;116,67%;122,22%;111,11%;98,15%;122,22%;98,15%;109,26%;107,41%;96,30%;98,15%
421840 - Treze de Maio;62,39%;97,25%;59,63%;60,55%;77,98%;73,39%;97,25%;62,39%;87,16%;78,90%;97,25%;101,83%;82,57%;113,76%;66,06%;97,25%;84,40%;66,06%;52,29%
421870 - Tubarão;92,05%;87,89%;71,54%;65,78%;74,26%;79,11%;88,04%;96,67%;89,78%;80,70%;87,89%;86,68%;76,76%;88,12%;70,48%;83,50%;92,73%;60,26%;67,30%
;73,38%;95,57%;90,25%;84,17%;86,44%;92,93%;95,52%;73,27%;105,32%;100,75%;95,51%;96,35%;89,61%;95,63%;89,89%;94,42%;97,81%;81,70%;73,22%
Totais;55,76%;93,94%;88,47%;80,90%;85,07%;91,13%;93,88%;58,53%;106,31%;100,43%;93,86%;96,23%;90,99%;94,06%;86,93%;94,30%;94,88%;80,59%;69,75%
420130 - Araquari;43,85%;99,11%;92,14%;86,44%;87,58%;100,00%;99,11%;42,21%;103,55%;107,98%;99,11%;100,13%;100,25%;97,97%;96,07%;96,70%;101,65%;86,57%;77,44%
420205 - Balneário Barra do Sul;32,54%;92,90%;78,70%;107,69%;81,07%;84,02%;92,31%;13,61%;97,63%;93,49%;92,31%;95,27%;92,31%;90,53%;88,17%;88,76%;95,27%;65,09%;61,54%
420580 - Garuva;70,22%;126,22%;123,56%;104,00%;111,56%;126,22%;125,33%;76,00%;128,89%;128,89%;125,33%;120,89%;124,44%;125,78%;124,00%;120,00%;128,89%;104,44%;102,22%
420845 - Itapoá;68,97%;97,49%;95,30%;90,91%;85,27%;99,06%;97,49%;67,71%;100,00%;104,08%;97,49%;98,12%;100,31%;97,18%;90,91%;95,61%;102,51%;81,82%;71,16%
420910 - Joinville;55,57%;93,44%;87,38%;78,93%;85,39%;89,45%;93,38%;60,00%;107,42%;99,55%;93,37%;95,82%;89,41%;93,60%;84,88%;94,31%;93,83%;81,20%;69,64%
421620 - São Francisco do Sul;67,03%;80,47%;83,28%;76,41%;70,00%;85,00%;80,63%;62,97%;94,53%;91,25%;80,47%;86,72%;80,94%;82,66%;83,75%;82,97%;82,66%;61,25%;51,56%
Totais;94,78%;98,20%;89,16%;84,18%;86,63%;93,51%;98,18%;90,77%;104,54%;100,61%;98,18%;97,32%;87,26%;98,08%;90,09%;95,25%;101,12%;78,07%;77,57%
420213 - Bela Vista do Toldo;123,08%;121,15%;109,62%;115,38%;140,38%;134,62%;121,15%;69,23%;150,00%;178,85%;121,15%;119,23%;153,85%;123,08%;119,23%;119,23%;215,38%;51,92%;138,46%
420330 - Campo Alegre;55,63%;66,20%;54,93%;64,79%;58,45%;57,04%;66,20%;57,04%;64,79%;68,31%;66,20%;57,04%;51,41%;64,08%;85,21%;57,04%;60,56%;46,48%;41,55%
420380 - Canoinhas;79,14%;81,16%;78,33%;77,12%;76,45%;82,64%;81,29%;89,10%;86,27%;83,58%;81,16%;87,21%;64,06%;80,89%;65,55%;88,16%;85,33%;69,04%;64,20%
420790 - Irineópolis;93,55%;118,55%;129,84%;101,61%;108,87%;121,77%;117,74%;107,26%;125,81%;126,61%;117,74%;104,03%;108,06%;117,74%;108,87%;100,81%;108,87%;111,29%;91,94%
420810 - Itaiópolis;117,39%;106,16%;108,70%;80,43%;98,19%;105,80%;106,16%;107,97%;124,64%;108,70%;106,16%;109,06%;102,90%;106,16%;103,26%;108,33%;129,35%;73,19%;130,07%
421010 - Mafra;90,25%;88,58%;82,45%;74,79%;80,08%;87,88%;88,58%;86,77%;90,53%;85,24%;88,58%;88,86%;85,79%;88,44%;87,33%;89,55%;86,63%;83,43%;74,65%
421030 - Major Vieira;111,63%;106,98%;108,14%;106,98%;73,26%;95,35%;106,98%;109,30%;120,93%;117,44%;106,98%;97,67%;95,35%;106,98%;96,51%;100,00%;95,35%;90,70%;75,58%
421110 - Monte Castelo;116,53%;104,96%;104,96%;96,69%;113,22%;102,48%;104,96%;122,31%;148,76%;132,23%;104,96%;102,48%;104,13%;105,79%;99,17%;102,48%;112,40%;87,60%;90,91%
421220 - Papanduva;106,01%;109,44%;99,57%;92,27%;103,86%;104,29%;109,44%;112,88%;115,45%;121,46%;109,44%;106,87%;101,29%;109,44%;96,57%;106,01%;122,32%;70,39%;87,98%
